ID,DELIVERY_DATE,DELIVERY_TIME,DELIVERY_MODE,DELIVERY_STATUS,INVOICE_AMOUNT,TAXES,CATERING_COST,SHOW_PRICE,DISCOUNT,GUEST_COUNT,PER_PERSON_RATE,LIVE_STALL_CHARGE,SETUP_CHARGE,EVENT_FACILITY_FEE,SERVER_CHARGE,GRATUITY,CATERING_STATUS,CATERING_LOCATION
1871,6/10/2023,17:00:00,30,\N,840,0,775,9,65,40,0,0,0,\N,0,0,CONFIRMED,chapel
1872,5/26/2023,16:20:00,30,\N,95,0,95,9,0,10,0,0,0,\N,0,0,CONFIRMED,chapel
1873,5/27/2023,17:30:00,30,\N,65,0,65,9,0,15,0,0,0,\N,0,0,CONFIRMED,chapel
1875,5/28/2023,18:30:00,30,\N,215,14.51,208.01,9,21.5,20,0,0,0,\N,0,0,CONFIRMED,durham
1876,6/9/2023,8:30:00,32,\N,660.25,0,760.25,9,0,25,0,0,100,\N,0,0,CONFIRMED,raleigh
1877,5/29/2023,13:00:00,30,\N,80,0,75,9,5,10,0,0,0,\N,0,0,CONFIRMED,durham
1878,6/3/2023,11:30:00,31,\N,1038.75,0,900,9,188.75,55,0,0,50,\N,0,0,CONFIRMED,durham
1879,6/10/2023,17:00:00,32,\N,575,0,675,9,0,30,0,0,100,\N,0,0,CONFIRMED,raleigh
1880,6/4/2023,11:00:00,32,\N,1278,0,1378,9,0,40,0,0,100,\N,0,0,CONFIRMED,raleigh
1883,6/2/2023,18:30:00,32,\N,404.5,30.34,534.84,9,0,25,0,0,100,\N,0,0,INQUIRY,chapel
1886,7/16/2023,17:00:00,32,\N,1252.5,0,1300,9,102.5,35,0,0,150,\N,0,0,CONFIRMED,chapel
1887,6/4/2023,23:00:00,30,\N,565,0,508.5,9,56.5,50,0,0,0,\N,0,0,CONFIRMED,durham
1888,6/3/2023,16:00:00,30,\N,60,0,60,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1889,6/1/2023,18:00:00,30,\N,465,0,465,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1891,6/4/2023,10:30:00,30,\N,0,0,0,9,0,50,0,0,0,\N,0,0,CANCELLED,durham
1892,6/7/2023,10:45:00,31,\N,1314,0,1364,9,0,85,0,0,50,\N,0,0,CONFIRMED,chapel
1893,6/4/2023,11:15:00,31,\N,470.5,0,520.5,9,0,30,0,0,50,\N,0,0,CANCELLED,durham
1894,7/2/2023,17:00:00,32,\N,787.5,0,887.5,9,0,40,0,0,100,\N,0,0,CONFIRMED,raleigh
1896,6/24/2023,17:15:00,32,\N,1565,0,2065,9,0,100,0,0,100,\N,400,0,CANCELLED,undecided
1897,6/17/2023,11:45:00,30,\N,685,0,685,9,0,75,0,0,0,\N,0,0,CONFIRMED,raleigh
1898,6/7/2023,11:30:00,30,\N,152.5,0,152.5,9,0,10,0,0,0,\N,0,0,CONFIRMED,durham
1899,6/9/2023,17:15:00,30,\N,125,9.38,134.38,9,0,25,0,0,0,\N,0,0,CONFIRMED,chapel
1900,6/10/2023,18:00:00,31,\N,700,0,775,9,0,30,0,0,75,\N,0,0,CONFIRMED,durham
1901,6/10/2023,17:30:00,30,\N,239,17.93,256.93,9,0,25,0,0,0,\N,0,0,CONFIRMED,chapel
1902,6/17/2023,17:00:00,31,\N,615,0,690,9,0,1,0,0,75,\N,0,0,CANCELLED,undecided
1903,6/12/2023,10:30:00,32,\N,497.5,42.29,639.79,9,0,35,0,0,100,\N,0,0,CONFIRMED,raleigh
1904,6/14/2023,17:00:00,31,\N,1367.5,0,1442.5,9,0,100,0,0,75,\N,0,0,CANCELLED,undecided
1905,6/14/2023,15:00:00,31,\N,1905,0,1875,9,105,100,0,0,75,\N,0,0,CONFIRMED,raleigh
1906,6/11/2023,10:30:00,30,\N,830,0,745,9,85,50,0,0,0,\N,0,0,CONFIRMED,durham
1907,6/17/2023,17:00:00,31,\N,1320,0,1395,9,0,50,0,0,75,\N,0,0,CONFIRMED,chapel
1908,6/11/2023,17:30:00,30,\N,185,0,165,9,20,10,0,0,0,\N,0,0,CONFIRMED,durham
